,Channel,Light_status,mean_sleep_per_ind,Line,Genotype1,Genotype2,Sex
423,adj_Monitor20_ch6,Night,0.896544876886418,64498,1,0,F
424,adj_Monitor66_ch20,Night,0.799444003177125,32372,0,1,M
425,adj_Monitor69_ch8,Night,0.922954725972994,55690-32372,1,1,F
426,adj_Monitor66_ch19,Night,0.932883240667196,32372,0,1,M
427,adj_Monitor3_ch7,Night,0.898332009531374,64498,1,0,M
428,adj_Monitor70_ch13,Night,0.811358220810167,64498-32372,1,1,M
429,adj_Monitor22_ch9,Night,0.907664813343924,55690,1,0,M
430,adj_Monitor3_ch21,Night,0.942613185067514,64498,1,0,M
431,adj_Monitor2_ch20,Night,0.856433677521843,tripsc,0,0,F
432,adj_Monitor66_ch28,Night,0.844718030182685,32372,0,1,M
433,adj_Monitor69_ch25,Night,0.891580619539317,55690-32372,1,1,F
434,adj_Monitor77_ch31,Night,0.928117553613979,64498-32372,1,1,F
435,adj_Monitor1_ch27,Night,0.985504368546466,tripsc,0,0,M
436,adj_Monitor70_ch10,Night,0.906076250992851,64498-32372,1,1,M
437,adj_Monitor66_ch18,Night,0.936854646544877,32372,0,1,M
438,adj_Monitor22_ch3,Night,0.932684670373312,55690,1,0,M
439,adj_Monitor66_ch13,Night,0.941620333598094,32372,0,1,M
440,adj_Monitor21_ch6,Night,0.878276409849087,55690,1,0,F
441,adj_Monitor62_ch31,Night,0.887013502779984,32372,0,1,F
442,adj_Monitor3_ch9,Night,0.828435266084194,64498,1,0,M
443,adj_Monitor70_ch30,Night,0.921167593328038,64498-32372,1,1,M
444,adj_Monitor21_ch13,Night,0.96604447974583,55690,1,0,F
445,adj_Monitor66_ch21,Night,0.89714058776807,32372,0,1,M
446,adj_Monitor1_ch31,Night,0.946783161239079,tripsc,0,0,M
447,adj_Monitor70_ch7,Night,0.794479745830024,64498-32372,1,1,M
448,adj_Monitor20_ch8,Night,0.887609213661636,64498,1,0,F
449,adj_Monitor3_ch6,Night,0.830619539316918,64498,1,0,M
450,adj_Monitor70_ch14,Night,0.914614773629865,64498-32372,1,1,M
451,adj_Monitor66_ch1,Night,0.79626687847498,32372,0,1,M
452,adj_Monitor68_ch5,Night,0.718824463860206,55690-32372,1,1,M
453,adj_Monitor3_ch19,Night,0.824265289912629,64498,1,0,M
454,adj_Monitor20_ch2,Night,0.887212073073868,64498,1,0,F
455,adj_Monitor62_ch22,Night,0.913423351866561,32372,0,1,F
456,adj_Monitor69_ch24,Night,0.853653693407466,55690-32372,1,1,F
457,adj_Monitor21_ch29,Night,0.963661636219222,55690,1,0,F
458,adj_Monitor70_ch16,Night,0.836775218427323,64498-32372,1,1,M
459,adj_Monitor22_ch32,Night,0.818109610802224,55690,1,0,M
460,adj_Monitor1_ch14,Night,0.953335980937252,tripsc,0,0,M
461,adj_Monitor20_ch31,Night,0.881453534551231,64498,1,0,F
462,adj_Monitor77_ch6,Night,0.944797458300238,64498-32372,1,1,F
463,adj_Monitor22_ch24,Night,0.920571882446386,55690,1,0,M
464,adj_Monitor62_ch28,Night,0.898530579825258,32372,0,1,F
465,adj_Monitor22_ch10,Night,0.943010325655282,55690,1,0,M
466,adj_Monitor3_ch29,Night,0.756552819698173,64498,1,0,M
467,adj_Monitor77_ch16,Night,0.895552025416998,64498-32372,1,1,F
468,adj_Monitor2_ch27,Night,0.943606036536934,tripsc,0,0,F
469,adj_Monitor68_ch17,Night,0.805996822875298,55690-32372,1,1,M
470,adj_Monitor20_ch21,Night,0.871723590150913,64498,1,0,F
471,adj_Monitor77_ch13,Night,0.80460683081811,64498-32372,1,1,F
472,adj_Monitor1_ch25,Night,0.976568705321684,tripsc,0,0,M
473,adj_Monitor66_ch4,Night,0.926131850675139,32372,0,1,M
474,adj_Monitor66_ch2,Night,0.927323272438443,32372,0,1,M
475,adj_Monitor69_ch15,Night,0.946187450357427,55690-32372,1,1,F
476,adj_Monitor20_ch9,Night,0.847696584590945,64498,1,0,F
477,adj_Monitor77_ch14,Night,0.912231930103257,64498-32372,1,1,F
478,adj_Monitor2_ch30,Night,0.884630659253376,tripsc,0,0,F
479,adj_Monitor22_ch31,Night,0.859213661636219,55690,1,0,M
480,adj_Monitor69_ch26,Night,0.927124702144559,55690-32372,1,1,F
481,adj_Monitor21_ch8,Night,0.939436060365369,55690,1,0,F
482,adj_Monitor68_ch26,Night,0.900913423351867,55690-32372,1,1,M
483,adj_Monitor77_ch9,Night,0.911834789515488,64498-32372,1,1,F
484,adj_Monitor62_ch7,Night,0.866759332803813,32372,0,1,F
485,adj_Monitor1_ch2,Night,0.954924543288324,tripsc,0,0,M
486,adj_Monitor68_ch12,Night,0.794876886417792,55690-32372,1,1,M
487,adj_Monitor70_ch5,Night,0.79428117553614,64498-32372,1,1,M
