Gene,Line,Genotype1,Genotype2,Sex,Rep,Time,Tap
Odc1-Snr1,64498-32372,1,1,F,28,41.25,N
Odc1,64498,1,0,M,40,41.26,N
Control,control,0,0,M,45,41.28,N
CG5877-Snr1,55690-32372,1,1,M,42,41.28,N
Control,control,0,0,M,1,41.31,N
Odc1-Snr1,64498-32372,1,1,M,48,41.32,N
CG5877-Snr1,55690-32372,1,1,F,26,41.33,N
Odc1-Snr1,64498-32372,1,1,F,44,41.33,N
CG5877,55690,1,0,F,20,41.35,N
Odc1,64498,1,0,M,33,41.39,N
Snr1,32372,0,1,F,16,41.43,N
Control,control,0,0,M,8,41.44,N
Control,control,0,0,F,45,41.45,N
Snr1,32372,0,1,F,34,41.49,N
Snr1,32372,0,1,F,27,41.51,N
Odc1-Snr1,64498-32372,1,1,F,21,41.53,N
CG5877,55690,1,0,F,40,41.54,N
Control,control,0,0,F,34,41.55,N
Odc1-Snr1,64498-32372,1,1,F,23,41.57,N
Control,control,0,0,F,8,41.59,N
Odc1,64498,1,0,M,42,41.6,N
Control,control,0,0,M,24,41.62,N
Odc1-Snr1,64498-32372,1,1,F,3,41.63,N
CG5877,55690,1,0,F,37,41.64,N
CG5877-Snr1,55690-32372,1,1,M,7,41.67,N
CG5877-Snr1,55690-32372,1,1,M,18,41.67,N
Snr1,32372,0,1,F,50,41.68,N
Odc1-Snr1,64498-32372,1,1,F,11,41.68,N
Control,control,0,0,F,18,41.71,N
Control,control,0,0,F,22,41.72,N
CG5877,55690,1,0,F,23,41.74,N
Odc1,64498,1,0,M,39,41.77,N
CG5877,55690,1,0,F,35,41.84,N
Control,control,0,0,F,31,41.89,N
Control,control,0,0,F,17,41.9,N
Snr1,32372,0,1,F,36,41.96,N
CG5877-Snr1,55690-32372,1,1,M,5,42.02,N
Odc1-Snr1,64498-32372,1,1,F,40,42.06,N
CG5877,55690,1,0,F,48,42.09,N
CG5877,55690,1,0,M,20,42.11,N
CG5877,55690,1,0,F,39,42.11,N
Control,control,0,0,M,33,42.14,N
Snr1,32372,0,1,F,43,42.17,N
Control,control,0,0,F,20,42.18,N
Odc1-Snr1,64498-32372,1,1,F,13,42.18,N
CG5877-Snr1,55690-32372,1,1,F,14,42.2,N
Odc1,64498,1,0,M,46,42.21,N
CG5877,55690,1,0,F,30,42.25,N
CG5877,55690,1,0,F,31,42.27,N
CG5877-Snr1,55690-32372,1,1,M,49,42.28,N
Control,control,0,0,M,37,42.32,N
CG5877-Snr1,55690-32372,1,1,M,25,42.32,N
CG5877,55690,1,0,F,47,42.38,N
Odc1-Snr1,64498-32372,1,1,F,24,42.38,N
Control,control,0,0,F,33,42.42,N
CG5877,55690,1,0,M,3,42.44,N
CG5877-Snr1,55690-32372,1,1,M,15,42.44,N
Control,control,0,0,M,7,42.46,N
Odc1,64498,1,0,M,47,42.47,N
Odc1-Snr1,64498-32372,1,1,M,31,42.49,N
Odc1-Snr1,64498-32372,1,1,F,14,42.51,N
Odc1-Snr1,64498-32372,1,1,F,19,42.53,N
Snr1,32372,0,1,F,11,42.54,N
Odc1-Snr1,64498-32372,1,1,M,3,42.54,N
Control,control,0,0,F,19,42.59,N
Odc1,64498,1,0,F,45,42.64,N
Odc1-Snr1,64498-32372,1,1,F,46,42.7,N
