lobe,length_left,norm_length_left,sex,gene,line,driver,length_right,norm_length_right,avg_norm_length
alpha,74.15687485,0.593584493,M,osa,35447,ubi156,55.82844065,0.446875582,0.520230038
alpha,56.02474584,0.534515641,M,osa,35447,ubi156,52.53941864,0.501263158,0.5178894
beta,60.93293661,0.546051598,M,osa,35447,ubi156,54.54604541,0.488815359,0.517433479
beta,54.46050513,0.534415048,F,osa,35447,ubi156,50.52061386,0.495753321,0.515084185
alpha,57.68997023,0.531971961,F,osa,35447,ubi156,53.97322272,0.497699011,0.514835486
alpha,75.16826263,0.617522121,F,osa,35447,ubi156,49.71460618,0.408415307,0.512968714
beta,62.18657356,0.510874982,F,osa,35447,ubi156,62.45490388,0.513079369,0.511977176
alpha,54.8715955,0.475958484,M,osa,35447,ubi156,63.01264706,0.546574301,0.511266393
alpha,64.112,0.511015463,M,osa,35447,ubi156,63.229,0.503977363,0.507496413
beta,50.14323273,0.503267452,M,osa,35447,ubi156,50.30198901,0.504860825,0.504064139
beta,64.776,0.516307987,M,osa,35447,ubi156,61.517,0.49033158,0.503319784
alpha,68.0033307,0.502595528,F,osa,35447,ubi156,67.94880611,0.502192551,0.50239404
beta,54.79135919,0.4971627,M,osa,35447,ubi156,55.89185298,0.507148297,0.502155499
beta,49.35748702,0.493864076,M,osa,35447,ubi156,50.74367341,0.507734062,0.500799069
alpha,63.76700559,0.497220187,F,osa,35447,ubi156,64.20900782,0.500666679,0.498943433
beta,53.70178574,0.473515245,M,osa,35447,ubi156,57.38859904,0.506023704,0.489769475
beta,53.19024503,0.495691062,F,osa,35447,ubi156,51.77706666,0.482521356,0.489106209
alpha,60.98425028,0.479163374,M,osa,35447,ubi156,63.07143845,0.495562758,0.487363066
beta,54.09494777,0.470389851,M,osa,35447,ubi156,57.96888166,0.504076162,0.487233007
beta,60.293,0.505008795,M,osa,35447,ubi156,54.865,0.45954435,0.482276573
beta,53.42226673,0.493863572,M,osa,35447,ubi156,50.85908827,0.4701682,0.482015886
beta,54.39751972,0.508179801,F,osa,35447,ubi156,48.78028518,0.455703784,0.481941793
beta,49.84445558,0.475369207,F,osa,35447,ubi156,51.19948446,0.488292189,0.481830698
beta,52.311,0.479609425,M,osa,35447,ubi156,52.791,0.484010269,0.481809847
alpha,66.60203896,0.548965936,F,osa,35447,ubi156,50.03232032,0.412390371,0.480678154
beta,49.36344749,0.483680298,F,osa,35447,ubi156,48.41056354,0.474343608,0.479011953
beta,50.11849073,0.472253826,M,osa,35447,ubi156,51.2336043,0.482761258,0.477507542
alpha,65.34640466,0.444836556,F,osa,35447,ubi156,74.66127447,0.508246236,0.476541396
beta,48.6615108,0.470380776,F,osa,35447,ubi156,49.82161714,0.481594808,0.475987792
beta,61.051827,0.472525234,F,osa,35447,ubi156,61.65097606,0.477162492,0.474843863
beta,56.61650757,0.466660399,F,osa,35447,ubi156,58.43163816,0.481621576,0.474140988
beta,58.31886893,0.45822103,M,osa,35447,ubi156,61.02501426,0.479483663,0.468852347
alpha,61.56083802,0.476464847,F,osa,35447,ubi156,59.3840202,0.459616844,0.468040846
beta,60.56884677,0.484819894,M,osa,35447,ubi156,56.31174631,0.450744175,0.467782035
beta,56.12514163,0.486831795,M,osa,35447,ubi156,51.10187233,0.44325975,0.465045773
beta,61.10454163,0.451608312,F,osa,35447,ubi156,63.71893729,0.470930653,0.461269483
