Monitor,Channel,Line,Sex,mean_sleep_per_ind,Light_status
Monitor7,ch14,Control,F,11.66666667,Day
Monitor7,ch15,Control,F,10,Day
Monitor7,ch16,Control,F,11.16666667,Day
Monitor7,ch17,Control,F,15.5,Day
Monitor7,ch18,Control,F,13.83333333,Day
Monitor7,ch19,Control,F,10.16666667,Day
Monitor7,ch2,Control,F,10.16666667,Day
Monitor7,ch20,Control,F,11.66666667,Day
Monitor7,ch21,Control,F,15.16666667,Day
Monitor7,ch22,Control,F,10.5,Day
Monitor7,ch23,Control,F,11.5,Day
Monitor7,ch24,Control,F,6.333333333,Day
Monitor7,ch25,Control,F,15.33333333,Day
Monitor7,ch26,Control,F,11.83333333,Day
Monitor7,ch27,Control,F,8.166666667,Day
Monitor7,ch28,Control,F,9,Day
Monitor7,ch29,Control,F,13.83333333,Day
Monitor7,ch3,Control,F,9.5,Day
Monitor7,ch30,Control,F,12.5,Day
Monitor7,ch31,Control,F,9.333333333,Day
Monitor7,ch32,Control,F,9.5,Day
Monitor7,ch4,Control,F,12,Day
Monitor7,ch5,Control,F,15.83333333,Day
Monitor7,ch6,Control,F,10.83333333,Day
Monitor7,ch7,Control,F,12.16666667,Day
Monitor7,ch8,Control,F,6.5,Day
Monitor7,ch9,Control,F,11.16666667,Day
Monitor8,ch1,56014,M,12.16666667,Day
Monitor8,ch10,56014,M,10.5,Day
Monitor8,ch11,56014,M,11.5,Day
Monitor8,ch12,56014,M,15.33333333,Day
Monitor8,ch13,56014,M,11.33333333,Day
Monitor8,ch14,56014,M,11.16666667,Day
Monitor8,ch15,56014,M,10.16666667,Day
Monitor8,ch16,56014,M,8.333333333,Day
Monitor8,ch17,56014,M,15.66666667,Day
Monitor8,ch18,56014,M,12.5,Day
Monitor8,ch19,56014,M,7,Day
Monitor8,ch2,56014,M,12.16666667,Day
Monitor8,ch20,56014,M,8.5,Day
Monitor8,ch21,56014,M,11,Day
Monitor8,ch22,56014,M,8.333333333,Day
Monitor8,ch23,56014,M,10.5,Day
