Monitor,Channel,Line,Sex,Light_Status,mean_sleep_per_ind
Monitor59,ch20,55690,F,Day,0.424074074
Monitor7,ch26,Control,F,Day,0.44375
Monitor7,ch31,Control,F,Day,0.527314815
Monitor59,ch22,55690,F,Day,0.552777778
Monitor63,ch15,56014,F,Day,0.276851852
Monitor63,ch21,56014,F,Day,0.413888889
Monitor8,ch32,56014,M,Day,0.63287037
Monitor72,ch10,66945,F,Day,0.748611111
Monitor72,ch5,66945,F,Day,0.628240741
Monitor56,ch18,62872,M,Day,0.788194444
Monitor22,ch15,64498,M,Day,0.613888889
Monitor58,ch18,62872,F,Day,0.490740741
Monitor63,ch14,56014,F,Day,0.564351852
Monitor56,ch5,62872,M,Day,0.519907407
Monitor24,ch15,Control,M,Day,0.681712963
Monitor56,ch10,62872,M,Day,0.540972222
Monitor7,ch9,Control,F,Day,0.49375
Monitor75,ch12,55690,M,Day,0.813425926
Monitor75,ch3,55690,M,Day,0.875694444
Monitor7,ch8,Control,F,Day,0.614814815
Monitor75,ch25,55690,M,Day,0.759490741
Monitor58,ch32,62872,F,Day,0.328935185
Monitor72,ch12,66945,F,Day,0.600462963
Monitor24,ch32,Control,M,Day,0.714814815
Monitor72,ch32,66945,F,Day,0.510416667
Monitor59,ch9,55690,F,Day,0.587962963
Monitor59,ch2,55690,F,Day,0.868287037
Monitor56,ch11,62872,M,Day,0.545601852
Monitor63,ch22,56014,F,Day,0.487731481
Monitor5,ch1,80387,F,Day,0.675
Monitor18,ch13,80387,M,Day,0.617361111
Monitor63,ch16,56014,F,Day,0.328935185
Monitor59,ch26,55690,F,Day,0.605092593
Monitor24,ch16,Control,M,Day,0.915046296
Monitor24,ch21,Control,M,Day,0.812037037
Monitor75,ch24,55690,M,Day,0.755092593
Monitor63,ch5,56014,F,Day,0.647685185
Monitor5,ch16,80387,F,Night,0.909175162
Monitor72,ch31,66945,F,Night,0.94416126
Monitor22,ch13,64498,M,Night,0.967794254
Monitor58,ch1,62872,F,Night,0.936283596
Monitor75,ch16,55690,M,Night,0.925162187
Monitor72,ch4,66945,F,Night,0.962696942
Monitor22,ch12,64498,M,Night,0.908248378
Monitor63,ch6,56014,F,Night,0.959916589
Monitor75,ch10,55690,M,Night,0.959684893
Monitor24,ch6,Control,M,Night,0.953660797
Monitor24,ch25,Control,M,Night,0.878591288
Monitor75,ch30,55690,M,Night,0.855421687
Monitor24,ch31,Control,M,Night,0.971733086
Monitor8,ch4,56014,M,Night,0.949721965
Monitor22,ch10,64498,M,Night,0.889017609
Monitor24,ch29,Control,M,Night,0.982854495
Monitor58,ch11,62872,F,Night,0.938832252
Monitor72,ch22,66945,F,Night,0.967794254
Monitor63,ch25,56014,F,Night,0.890871177
Monitor63,ch12,56014,F,Night,0.898053753
Monitor24,ch5,Control,M,Night,0.91334569
Monitor24,ch7,Control,M,Night,0.967562558
Monitor5,ch1,80387,F,Night,0.916357739
Monitor60,ch11,66945,M,Night,0.941612604
Monitor72,ch25,66945,F,Night,0.957367933
Monitor7,ch18,Control,F,Night,0.888554217
Monitor24,ch30,Control,M,Night,0.969879518
Monitor8,ch5,56014,M,Night,0.882761816
Monitor75,ch21,55690,M,Night,0.819508804
Monitor18,ch5,80387,M,Night,0.925162187
Monitor75,ch14,55690,M,Night,0.946709917
Monitor24,ch17,Control,M,Night,0.921686747
Monitor59,ch5,55690,F,Night,0.93836886
Monitor59,ch18,55690,F,Night,0.895968489
Monitor5,ch7,80387,F,Night,0.848470806
Monitor58,ch32,62872,F,Night,0.924930491
Monitor24,ch24,Control,M,Night,0.96918443
Monitor58,ch15,62872,F,Night,0.93836886
Monitor60,ch14,66945,M,Night,0.993280816
Monitor72,ch13,66945,F,Night,0.926784059
Monitor60,ch3,66945,M,Night,0.963855422
Monitor7,ch28,Control,F,Night,0.938600556
Monitor58,ch18,62872,F,Night,0.946941613
Monitor63,ch3,56014,F,Night,0.977525487
Monitor60,ch31,66945,M,Night,0.981464319
Monitor75,ch29,55690,M,Night,0.979610751
Monitor22,ch3,64498,M,Night,0.946941613
Monitor56,ch5,62872,M,Night,0.929101019
Monitor7,ch3,Control,F,Night,0.918906395
Monitor72,ch26,66945,F,Night,0.978683967
Monitor72,ch14,66945,F,Night,0.949258573
Monitor75,ch2,55690,M,Night,0.987488415
Monitor59,ch8,55690,F,Night,0.974513438
Monitor58,ch16,62872,F,Night,0.933966636
Monitor18,ch3,80387,M,Night,0.868860056
Monitor56,ch4,62872,M,Night,0.916589435
Monitor72,ch2,66945,F,Night,0.9360519
Monitor18,ch6,80387,M,Night,0.960611677
Monitor59,ch17,55690,F,Night,0.971733086
Monitor5,ch13,80387,F,Night,0.960379981
Monitor24,ch8,Control,M,Night,0.958758109
Monitor77,ch31,64498,F,Night,0.883225209
Monitor7,ch4,Control,F,Night,0.93141798
Monitor22,ch30,64498,M,Night,0.839434662
Monitor24,ch23,Control,M,Night,0.96223355
Monitor24,ch3,Control,M,Night,0.982159407
Monitor59,ch24,55690,F,Night,0.959684893
Monitor7,ch1,Control,F,Night,0.927942539
Monitor58,ch10,62872,F,Night,0.942539388
Monitor8,ch2,56014,M,Night,0.969647822
Monitor75,ch27,55690,M,Night,0.847312326
Monitor58,ch3,62872,F,Night,0.956441149
